Chamber ID	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60
S07-A09	43049	43386	43724	44066	44390	44685	45006	45295	45545	45775	46018	46230	46420	46578	46779	46944	47099	47230	47379	47517	47635	47729	47832	47937	48029	48086	48141	48237	48288	48344	48398	48438	48481	48527	48554	48601	48601	48645	48662	48664	48724	48739	48760	48746	48758	48767	48756	48743	48751	48744	48824	48829	48823	48798	48712	48790	48739	48724	48718	48712
S08-A09	43239	43605	44015	44367	44683	44986	45250	45508	45747	45960	46210	46392	46619	46827	46984	47159	47322	47477	47600	47723	47840	47947	48033	48146	48189	48294	48336	48370	48547	48573	48645	48689	48728	48757	48710	48839	48789	48791	48806	48839	48847	48887	48903	48908	48906	48993	49007	49028	49013	49020	48996	48997	48955	48978	48959	48944	48924	48912	48879	48871
S09-A09	42859	43214	43522	43847	44132	44397	44684	44950	45198	45420	45650	45888	46099	46297	46452	46647	46788	46930	47066	47244	47349	47456	47521	47726	47808	47902	47980	48042	48114	48175	48231	48266	48321	48378	48417	48412	48489	48498	48528	48522	48542	48567	48576	48595	48612	48613	48634	48615	48633	48635	48614	48610	48616	48550	48582	48561	48549	48525	48491	48477
S10-A09	42969	43331	43658	44008	44299	44636	44880	45272	45558	45795	46003	46216	46417	46606	46744	46926	47092	47244	47365	47498	47623	47734	47805	47931	47995	48061	48142	48223	48264	48324	48365	48479	48514	48556	48578	48619	48626	48631	48649	48744	48756	48786	48715	48806	48753	48792	48793	48849	48812	48805	48791	48790	48774	48752	48746	48705	48720	48684	48671	48662
S11-A09	43424	43746	44227	44558	44905	45157	45444	45709	45944	46161	46382	46534	46755	46979	47119	47278	47435	47548	47716	47823	47939	48013	48118	48194	48272	48340	48390	48458	48498	48558	48577	48609	48654	48690	48718	48754	48815	48834	48861	48864	48896	48896	48918	48928	48914	48925	48932	49031	49023	49018	49033	48989	48967	48966	48967	48945	48947	48915	48894	48941
S12-A09	43423	43784	44106	44271	44742	44896	45305	45616	45853	46114	46346	46551	46716	46926	47098	47255	47412	47583	47709	47855	47955	48059	48144	48226	48299	48389	48605	48692	48743	48790	48835	48907	48880	48958	49009	49060	49082	49110	49117	49151	49163	49171	49179	49210	49210	49214	49218	49236	49216	49207	49204	49183	49205	49175	49175	49156	49142	49113	49106	49074
S01-A10	42064	42395	42716	43041	43318	43590	43856	44133	44366	44602	44802	45042	45240	45452	45605	45759	45920	46094	46243	46390	46505	46622	46750	46820	46945	47050	47113	47208	47260	47343	47408	47445	47486	47524	47578	47597	47630	47662	47694	47701	47722	47770	47767	47787	47795	47810	47837	47846	47841	47843	47840	47811	47832	47809	47806	47784	47791	47777	47743	47759
S02-A10	42461	42781	43073	43381	43704	43933	44183	44461	44702	44924	45152	45361	45553	45705	45884	46019	46181	46352	46485	46589	46697	46837	46903	47055	47123	47202	47281	47335	47418	47445	47503	47563	47583	47642	47669	47705	47738	47778	47792	47824	47833	47851	47897	47899	47890	47898	47907	47914	47908	47902	47899	47889	47887	47863	47837	47830	47815	47797	47788	47746
S03-A10	42759	43114	43416	43711	43985	44328	44561	44824	45090	45306	45539	45774	45962	46180	46357	46494	46656	46818	46958	47055	47165	47282	47391	47495	47570	47676	47761	47820	47886	47936	47983	48043	48100	48141	48146	48201	48230	48240	48262	48253	48304	48355	48317	48408	48356	48418	48377	48425	48422	48422	48404	48407	48378	48378	48372	48358	48324	48314	48289	48289
S04-A10	43459	43842	44177	44486	44806	45094	45381	45644	45875	46127	46356	46568	46761	46931	47089	47270	47410	47554	47687	47810	47921	48016	48106	48217	48298	48384	48452	48548	48570	48635	48686	48708	48753	48794	48837	48870	48877	48891	48934	48945	48964	48986	48994	49010	49006	49017	49018	49028	49044	49030	49031	49008	48991	48971	48983	48971	48934	48932	48906	48868
S05-A10	43539	43871	44179	44545	44861	45145	45403	45644	45881	46106	46330	46520	46714	46893	47102	47235	47400	47537	47662	47783	47893	47989	48073	48161	48292	48385	48444	48507	48569	48612	48650	48698	48723	48791	48817	48831	48897	48916	48952	48950	48958	48990	48998	49020	49033	49031	49034	49021	49002	49025	49002	48986	48964	48944	48987	48971	48933	48927	48904	48871
S06-A10	43674	43985	44304	44599	44974	45238	45527	45799	46042	46277	46458	46680	46877	47082	47241	47407	47538	47685	47816	47914	48029	48151	48236	48313	48444	48541	48598	48667	48743	48786	48843	48880	48926	48935	48985	49027	49042	49077	49111	49114	49142	49151	49167	49193	49183	49196	49209	49206	49208	49202	49178	49198	49192	49147	49123	49139	49129	49107	49072	49052
S07-A10	43065	43413	43772	44099	44445	44730	45023	45322	45521	45780	46006	46175	46411	46607	46744	46931	47096	47212	47374	47522	47625	47744	47821	47919	48022	48089	48141	48206	48346	48321	48397	48481	48520	48506	48565	48581	48631	48636	48661	48697	48713	48725	48766	48777	48765	48763	48837	48835	48839	48836	48823	48817	48815	48781	48757	48738	48734	48728	48792	48789
S08-A10	43316	43700	44021	44372	44683	44968	45253	45505	45758	45974	46170	46389	46580	46781	46937	47128	47294	47420	47543	47662	47781	47855	47963	48029	48110	48300	48343	48419	48460	48513	48564	48612	48660	48671	48700	48740	48789	48815	48820	48866	48887	48920	48912	48934	48945	48910	48948	48921	48910	48903	48916	48907	48888	48890	48849	48844	48824	48824	48789	48754
S09-A10	43025	43350	43693	44021	44276	44572	44850	45114	45404	45667	45911	46210	46298	46594	46674	46842	47033	47135	47386	47510	47635	47746	47839	47954	48055	48147	48187	48252	48319	48382	48424	48486	48524	48548	48588	48619	48640	48677	48720	48727	48736	48731	48763	48770	48812	48810	48813	48808	48805	48802	48788	48809	48747	48747	48758	48748	48720	48695	48688	48665
S10-A10	43367	43703	44046	44406	44724	45017	45305	45575	45814	46059	46278	46489	46668	46881	47050	47231	47369	47562	47698	47763	48038	48149	48279	48369	48456	48509	48601	48670	48741	48769	48814	48876	48917	48950	48984	49021	49059	49094	49130	49132	49142	49160	49169	49204	49192	49206	49209	49208	49207	49182	49182	49179	49158	49158	49165	49125	49114	49078	49065	49044
S11-A10	43625	43989	44305	44645	45066	45340	45624	45864	46101	46316	46575	46787	46998	47191	47328	47497	47639	47793	47914	48037	48138	48249	48355	48437	48512	48562	48619	48670	48728	48768	48801	48842	48905	48940	48972	48999	49063	49084	49080	49115	49137	49132	49154	49165	49189	49180	49173	49161	49154	49157	49152	49127	49114	49101	49098	49061	49071	49030	49018	48994
S12-A10	42258	42554	44098	44411	44730	45023	45314	45567	45677	45917	46362	46361	46767	46952	47139	47293	47433	47589	47731	47662	47956	47883	48142	48248	48515	48420	46450	44981	45060	45092	43495	46767	43550	45283	41923	45321	41967	41993	41994	45420	47000	45415	47016	43784	42115	42119	42122	45496	42107	45498	47080	43810	42111	45498	48287	49191	49162	49041	49029	49115
S01-A11	42048	42369	42733	43065	43359	43657	43907	44190	44445	44666	44894	45111	45304	45461	45644	45835	46000	46145	46276	46346	46556	46670	46745	46866	46963	47057	47129	47209	47281	47326	47383	47431	47465	47521	47579	47567	47591	47637	47654	47665	47730	47702	47746	47784	47778	47798	47792	47780	47783	47793	47799	47779	47767	47774	47763	47743	47722	47706	47638	47608
S02-A11	42694	43053	43369	43641	43925	44239	44487	44761	44991	45247	45452	45645	45864	46043	46213	46353	46521	46616	46785	46912	47009	47145	47237	47307	47400	47466	47540	47592	47636	47681	47755	47801	47848	47884	47933	47902	47970	48002	48019	48037	48068	48106	48086	48119	48137	48116	48119	48108	48113	48098	48145	48112	48101	48076	48056	48048	48032	48015	47979	47970
S03-A11	43228	43548	43890	44172	44474	44785	45065	45330	45577	45835	46057	46260	46475	46667	46866	47009	47163	47305	47453	47573	47675	47794	47897	48009	48072	48169	48244	48313	48381	48423	48494	48535	48601	48613	48639	48674	48686	48720	48759	48753	48762	48803	48816	48837	48849	48821	48863	48827	48833	48843	48835	48832	48818	48807	48774	48759	48758	48801	48744	48727
S04-A11	43818	44231	44543	44904	45186	45520	45811	46050	46283	46483	46741	46958	47119	47314	47479	47643	47778	47929	48049	48177	48289	48394	48530	48621	48705	48785	48857	48913	49003	49029	49082	49107	49173	49217	49227	49283	49294	49321	49370	49367	49381	49414	49407	49429	49437	49450	49455	49454	49465	49438	49449	49431	49427	49401	49397	49378	49364	49332	49347	49304
